domain,problem,agents,heuristic,recursionLevel,totalTime,CPUTimeAgents,CPUTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_131.pddl,3,saFF-glcl,-1,953,{},0,{tru2=2 apn1=1},{tru1=1 apn1=1},0,9,3,6,3,3,1,7,276,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_169.pddl,3,saFF-glcl,-1,1056,{},0,{tru1=2 tru2=1 apn1=1},{tru1=1 tru2=2 apn1=2},0,13,4,9,6,6,3,15,592,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_37.pddl,3,saFF-glcl,-1,1007,{},0,{tru1=1 tru2=1},{apn1=1},0,3,1,2,0,2,0,2,96,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_107.pddl,3,saFF-glcl,-1,1023,{},0,{tru1=1 apn1=1},{tru1=1 tru2=1 apn1=1},0,16,6,10,8,4,2,14,540,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_191.pddl,3,saFF-glcl,-1,1006,{},0,{tru1=1 apn1=1},{tru1=2 tru2=1},0,10,4,6,3,3,1,7,284,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_150.pddl,3,saFF-glcl,-1,1074,{},0,{tru2=1 apn1=1},{tru1=1 tru2=2 apn1=2},0,11,4,7,3,5,3,11,384,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_39.pddl,3,saFF-glcl,-1,1125,{},0,{},{tru1=1},0,1,1,0,0,2,0,2,96,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_176.pddl,3,saFF-glcl,-1,1007,{},0,{tru1=1 apn1=1},{tru2=1 apn1=2},0,6,3,3,1,3,1,5,204,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0_102.pddl,3,saFF-glcl,-1,1058,{},0,{apn1=1},{tru2=1},0,2,1,1,0,2,0,2,96,0,0,0,0,0,,,,,,,1,0,true,true
Input/logistics00/Grounded,Input/logistics00/Grounded/probLOGISTICS-4-0.pddl,3,saFF-glcl,-1,572,{},0,{tru1=9 tru2=4 apn1=4},{tru1=25 tru2=19 apn1=19},0,202,30,172,48,108,108,264,9480,0,0,0,0,0,,,,,,,26,0,true,true
